Height,Wind
803,3095
804,3099
807,3103
810,3107
812,3113
812,3123
813,3127
816,3131
816,3138
818,3144
818,3150
819,3154
822,3158
825,3162
825,3172
825,3178
826,3182
829,3186
832,3190
834,3196
834,3209
835,3213
838,3217
840,3222
842,3228
842,3236
843,3240
846,3244
846,3251
850,3255
850,3265
851,3269
851,3278
854,3282
855,3289
857,3293
857,3300
858,3306
861,3310
861,3318
861,3326
862,3330
865,3334
867,3339
867,3348
868,3353
868,3358
871,3362
873,3367
875,3373
875,3382
876,3386
878,3391
881,3395
883,3401
885,3405
886,3409
888,3414
889,3420
891,3426
893,3430
893,3438
893,3445
896,3449
896,3462
896,3469
896,3474
898,3479
900,3484
900,3492
900,3498
901,3502
904,3506
907,3510
909,3516
909,3529
910,3533
910,3541
912,3546
914,3552
916,3556
917,3560
920,3564
923,3568
925,3574
925,3586
926,3590
929,3594
932,3598
932,3608
934,3612
935,3616
938,3620
941,3624
943,3630
943,3638
944,3642
944,3650
947,3654
947,3663
949,3667
950,3671
953,3675
953,3682
957,3686
959,3690
960,3694
963,3698
966,3702
966,3710
968,3714
968,3720
970,3725
972,3730
974,3736
976,3740
977,3744
980,3748
983,3752
983,3762
983,3768
984,3772
987,3776
990,3780
990,3790
990,3796
991,3800
993,3805
994,3811
994,3819
995,3824
995,3829
998,3833
1001,3837
1005,3841
1005,3853
1006,3857
1009,3861
1011,3866
1013,3872
1013,3878
1014,3882
1017,3886
1019,3891
1019,3905
1019,3911
1020,3915
1023,3919
1026,3923
1026,3940
1026,3946
1027,3950
1030,3954
1033,3958
1033,3966
1033,3972
1034,3976
1037,3980
1037,3987
1041,3991
1041,4001
1042,4005
1045,4009
1048,4013
1050,4019
1052,4023
1053,4027
1056,4031
1059,4035
1063,4039
1063,4049
1064,4053
1067,4057
1070,4061
1072,4067
1072,4073
1073,4077
1075,4082
1078,4086
1080,4092
1080,4102
1080,4108
1082,4113
1085,4117
1085,4125
1085,4138
1086,4142
1089,4146
1092,4150
1094,4156
1094,4176
1095,4180
1098,4184
1101,4188
1105,4192
1105,4204
1106,4208
1108,4213
1109,4219
1112,4224
1114,4228
1114,4237
1117,4241
1117,4252
1117,4262
1117,4273
1117,4278
1120,4282
1122,4287
1124,4293
1124,4304
1124,4312
1127,4316
1127,4326
1131,4330
1133,4334
1133,4345
1133,4355
1133,4362
1135,4368
1135,4374
1136,4378
1138,4383
1139,4389
1139,4399
1139,4405
1140,4409
1142,4414
1143,4420
1146,4425
1148,4429
1149,4433
1152,4437
1152,4444
1152,4463
1152,4469
1153,4473
1156,4477
1158,4482
1159,4489
1159,4500
1160,4504
1162,4509
1165,4513
1167,4519
1167,4525
1168,4529
1171,4533
1171,4540
1175,4544
1177,4548
1178,4552
1181,4556
1184,4560
1184,4579
1184,4585
1185,4589
1187,4594
1190,4598
1192,4604
1192,4615
1192,4621
1194,4626
1196,4631
1198,4637
1200,4641
1201,4645
1204,4649
1207,4653
1209,4659
1211,4663
1212,4667
1214,4672
1217,4676
1217,4685
1217,4693
1217,4698
1220,4702
1220,4709
1221,4716
1221,4722
1222,4726
1224,4731
1225,4737
1227,4743
1227,4751
1228,4755
1230,4760
1233,4764
1233,4773
1233,4781
1234,4785
1237,4789
1239,4794
1240,4801
1241,4806
1242,4810
1245,4814
1247,4819
1248,4826
1248,4837
1249,4841
1251,4846
1254,4850
1254,4859
1255,4864
1256,4868
1259,4872
1261,4877
1263,4883
1263,4889
1264,4893
1267,4897
1269,4902
1273,4906
1273,4916
1274,4920
1277,4924
1280,4928
1282,4934
1282,4940
1283,4944
1286,4948
1289,4952
1289,4971
1289,4977
1290,4981
1293,4985
1295,4990
1297,4996
1297,5004
1297,5010
1299,5015
1301,5020
1303,5026
1303,5034
1304,5038
1307,5042
1310,5046
1310,5062
1312,5066
1313,5070
1315,5075
1318,5079
1318,5087
1318,5093
1319,5097
1322,5101
1324,5106
1324,5116
1324,5122
1325,5126
1328,5130
1331,5134
1333,5140
1333,5153
1334,5157
1337,5161
1339,5166
1339,5183
1339,5189
1340,5193
1343,5197
1343,5208
1343,5218
1344,5223
1345,5227
1348,5231
1350,5236
1354,5240
1354,5250
1355,5254
1358,5258
1360,5263
1362,5269
1362,5280
1363,5284
1366,5288
1369,5292
1371,5298
1373,5302
1373,5310
1373,5317
1376,5321
1376,5329
1376,5336
1377,5340
1380,5344
1382,5349
1382,5360
1382,5366
1383,5370
1386,5374
1386,5381
1386,5392
1388,5396
1388,5402
1391,5406
1391,5414
1392,5421
1392,5429
1393,5433
1396,5437
1399,5441
1403,5445
1405,5449
1405,5461
1408,5465
1411,5469
1411,5477
1411,5494
1412,5498
1415,5502
1415,5509
1418,5514
1418,5523
1419,5527
1419,5535
1422,5539
1426,5543
1426,5553
1427,5557
1430,5561
1430,5568
1432,5574
1432,5581
1432,5586
1435,5590
1435,5597
1435,5608
1437,5612
1438,5616
1440,5621
1442,5626
1442,5634
1442,5640
1443,5644
1446,5648
1446,5655
1448,5661
1450,5665
1450,5673
1450,5680
1453,5684
1454,5691
1454,5698
1455,5702
1457,5707
1460,5711
1460,5720
1460,5726
1461,5730
1463,5735
1464,5741
1466,5747
1466,5753
1467,5757
1470,5761
1472,5766
1472,5775
1474,5779
1475,5783
1477,5788
1480,5792
1482,5798
1482,5809
1483,5813
1485,5818
1487,5823
1487,5839
1489,5843
1490,5847
1493,5851
1496,5855
1500,5859
1502,5863
1502,5875
1504,5880
1507,5884
1509,5890
1509,5896
1510,5900
1513,5904
1515,5909
1517,5915
1517,5924
1518,5928
1521,5932
1521,5939
1525,5943
1527,5947
1527,5958
1527,5968
1527,5975
1531,5979
1533,5983
1534,5987
1537,5991
1540,5995
1542,6001
1542,6022
1543,6026
1545,6031
1548,6035
1548,6044
1549,6049
1550,6053
1553,6057
1553,6064
1555,6070
1555,6076
1556,6080
1559,6084
1559,6091
1562,6096
1564,6100
1565,6104
1568,6108
1570,6113
1570,6122
1571,6127
1571,6134
1573,6139
1576,6143
1576,6152
1578,6156
1579,6160
1582,6164
1584,6169
1586,6175
1588,6179
1589,6183
1592,6187
1594,6192
1598,6196
1598,6216
1599,6220
1602,6224
1602,6231
1604,6237
1604,6243
1605,6247
1608,6251
1611,6255
1611,6265
1611,6271
1612,6275
1615,6279
1618,6283
1620,6289
1620,6295
1621,6299
1624,6303
1627,6307
1629,6313
1629,6319
1630,6323
1632,6328
1634,6333
1636,6339
1636,6345
1637,6349
1640,6353
1643,6357
1645,6363
1645,6380
1646,6384
1649,6388
1651,6393
1653,6399
1653,6407
1654,6411
1657,6415
1659,6420
1659,6432
1661,6436
1662,6440
1665,6444
1668,6448
1668,6458
1670,6462
1670,6470
1672,6475
1674,6480
1678,6484
1678,6496
1679,6500
1682,6504
1682,6511
1683,6518
1685,6522
1686,6526
1689,6530
1691,6535
1691,6549
1691,6555
1692,6559
1695,6563
1697,6568
1697,6577
1699,6581
1700,6585
1703,6589
1706,6593
1706,6608
1706,6619
1707,6623
1710,6627
1713,6631
1715,6637
1715,6649
1716,6653
1719,6657
1719,6664
1721,6670
1721,6677
1722,6681
1725,6685
1725,6692
1728,6697
1728,6704
1729,6708
1732,6712
1732,6723
1736,6727
1736,6741
1736,6752
1738,6757
1741,6761
1741,6775
1743,6779
1744,6783
1747,6787
1750,6791
1752,6797
1752,6805
1753,6809
1756,6813
1756,6820
1760,6824
1760,6832
1760,6838
1762,6843
1762,6850
1764,6856
1764,6862
1765,6866
1768,6870
1768,6877
1771,6882
1771,6889
1772,6893
1775,6897
1775,6904
1777,6910
1777,6918
1777,6924
1779,6929
1782,6933
1784,6939
1786,6943
1787,6947
1790,6951
1790,6958
1793,6963
1795,6967
1796,6971
1799,6975
1799,6982
1799,6997
1800,7002
1801,7006
1804,7010
1807,7014
1809,7020
1809,7034
1809,7040
1811,7045
1814,7049
1816,7055
1816,7074
1817,7078
1820,7082
1820,7089
1823,7094
1823,7102
1823,7108
1825,7113
1828,7117
1828,7125
1828,7135
1829,7139
1832,7143
1835,7147
1835,7160
1835,7170
1836,7174
1839,7178
1842,7182
1846,7186
1848,7190
1849,7194
1852,7198
1854,7203
1858,7207
1860,7211
1861,7215
1863,7220
1864,7226
1866,7232
1868,7236
1869,7240
1872,7244
1874,7249
1876,7255
1876,7261
1877,7265
1877,7275
1880,7279
1880,7290
1880,7297
1880,7302
1883,7306
1886,7310
1890,7314
1892,7318
1893,7322
1896,7326
1898,7331
1898,7359
1898,7365
1899,7369
1902,7373
1904,7378
1904,7387
1906,7391
1907,7395
1910,7399
1913,7403
1913,7418
1913,7424
1914,7428
1916,7433
1918,7438
1920,7444
1922,7448
1922,7456
1922,7463
1925,7467
1925,7481
1925,7488
1926,7492
1929,7496
1932,7500
1932,7513
1932,7519
1933,7523
1936,7527
1939,7531
1939,7541
1939,7551
1939,7557
1940,7563
1943,7567
1947,7571
1947,7581
1947,7589
1947,7596
1950,7600
1950,7608
1950,7615
1951,7619
1954,7623
1957,7627
1957,7635
1957,7645
1958,7649
1961,7653
1964,7657
1964,7670
1966,7674
1967,7678
1970,7682
1972,7687
1973,7694
1973,7701
1974,7705
1977,7709
1977,7716
1980,7721
1982,7725
1982,7734
1982,7742
1985,7746
1985,7755
1986,7760
1987,7764
1990,7768
1992,7773
1992,7783
1992,7789
1993,7793
1994,7799
1996,7804
1997,7811
1999,7815
2000,7819
2002,7824
2005,7828
2005,7837
2006,7842
2006,7847
2009,7851
2012,7855
2014,7861
2016,7865
2017,7869
2020,7873
2023,7877
2023,7898
2025,7902
2026,7906
2026,7918
2029,7922
2030,7929
2030,7936
2030,7941
2033,7945
2035,7950
2036,7957
2037,7962
2038,7966
2041,7970
2043,7975
2044,7982
2046,7986
2047,7990
2050,7994
2052,7999
2056,8003
2056,8013
2057,8017
2059,8022
2062,8026
2066,8030
2066,8042
2067,8046
2070,8050
2072,8055
2074,8061
2076,8065
2077,8069
2080,8073
2082,8078
2083,8085
2083,8102
2083,8107
2086,8111
2089,8115
2093,8119
2095,8123
2096,8127
2096,8143
2099,8147
2101,8153
2101,8162
2102,8166
2105,8170
2105,8177
2109,8181
2109,8189
2109,8195
2111,8200
2113,8205
2114,8212
2114,8227
2115,8231
2117,8236
2120,8240
2120,8249
2120,8255
2121,8259
2124,8263
2126,8268
2126,8279
2126,8285
2127,8289
2130,8293
2133,8297
2135,8303
2137,8307
2138,8311
2141,8315
2143,8320
2147,8324
2147,8334
2148,8338
2151,8342
2153,8347
2154,8354
2156,8358
2156,8365
2157,8371
2160,8375
2164,8379
2166,8383
2167,8387
2170,8391
2173,8395
2175,8401
2177,8405
2178,8409
2178,8418
2179,8424
2182,8429
2182,8437
2183,8441
2186,8445
2189,8449
2189,8462
2189,8470
2190,8474
2193,8478
2195,8483
2197,8489
2199,8493
2200,8497
2202,8502
2203,8508
2205,8514
2205,8522
2205,8528
2207,8533
2210,8537
2214,8541
2214,8553
2215,8557
2218,8561
2221,8565
2221,8586
2221,8592
2222,8596
2224,8601
2225,8607
2227,8613
2227,8621
2227,8627
2230,8631
2230,8639
2230,8647
2231,8652
2231,8657
2234,8661
2236,8666
2240,8670
2240,8680
2241,8684
2244,8688
2247,8692
2247,8700
2249,8704
2250,8708
2253,8712
2256,8716
2258,8722
2258,8734
2259,8738
2262,8742
2264,8747
2266,8753
2266,8761
2267,8765
2270,8769
2273,8773
2273,8783
2273,8789
2274,8793
2276,8798
2279,8802
2281,8808
2281,8818
2282,8822
2285,8826
2287,8831
2289,8837
2289,8843
2290,8847
2293,8851
2296,8855
2296,8865
2296,8871
2297,8875
2300,8879
2303,8883
2307,8887
2309,8891
2310,8895
2313,8899
2313,8906
2315,8912
2317,8916
2318,8920
2321,8924
2324,8928
2324,8971
2326,8975
2327,8979
2329,8984
2330,8990
2332,8996
2332,9004
2332,9010
2334,9015
2337,9019
2337,9029
2337,9035
2338,9039
2341,9043
2344,9047
2346,9053
2346,9059
2347,9063
2350,9067
2352,9072
2354,9078
2354,9084
2355,9088
2358,9092
2361,9096
2365,9100
2365,9110
2366,9114
2368,9119
2370,9124
2374,9128
2374,9138
2375,9142
2378,9146
2380,9151
2382,9157
2382,9166
2382,9172
2384,9177
2387,9181
2391,9185
2393,9189
2394,9193
2397,9197
2399,9202
2400,9209
2402,9213
2403,9217
2406,9221
2408,9226
2410,9232
2410,9241
2411,9245
2414,9249
2417,9253
2417,9289
2419,9293
2420,9297
2423,9301
2425,9306
2427,9312
2427,9321
2428,9325
2431,9329
2433,9334
2433,9343
2433,9349
2433,9354
2436,9358
2436,9365
2438,9371
2440,9375
2440,9383
2440,9390
2443,9394
2447,9398
2447,9408
2448,9412
2451,9416
2453,9421
2455,9427
2457,9431
2458,9435
2460,9440
2462,9445
2462,9453
2462,9459
2463,9463
2466,9467
2469,9471
2469,9479
2469,9485
2470,9489
2471,9495
2474,9499
2474,9507
2474,9515
2475,9519
2478,9523
2481,9527
2483,9533
2485,9537
2486,9541
2487,9547
2489,9552
2490,9559
2490,9566
2491,9570
2494,9574
2496,9579
2497,9586
2499,9590
2499,9597
2500,9603
2502,9608
2506,9612
2506,9623
2506,9632
2506,9640
2506,9648
2510,9652
2510,9661
2510,9668
2511,9674
2513,9679
2513,9693
2513,9703
2513,9709
2515,9714
2518,9718
2518,9731
2518,9737
2519,9741
2522,9745
2524,9750
2528,9754
2530,9758
2531,9762
2534,9766
2534,9773
2534,9793
2536,9797
2536,9803
2539,9807
2539,9815
2540,9822
2542,9826
2543,9830
2545,9835
2546,9841
2549,9846
2551,9850
2551,9861
2551,9871
2554,9875
2558,9879
2558,9889
2559,9893
2561,9898
2562,9904
2565,9909
2567,9913
2568,9917
2570,9922
2572,9927
2574,9933
2576,9937
2577,9941
2580,9945
2583,9949
2583,9959
2583,9965
2584,9969
2587,9973
2587,9981
2590,9986
2592,9990
2593,9994
2596,9998
2599,10002
2599,10012
2599,10018
2600,10022
2602,10027
2604,10032
2604,10040
2606,10044
2606,10050
2608,10055
2610,10060
2610,10068
2612,10072
2613,10076
2616,10080
2619,10084
2619,6
2621,10
2622,14
2625,18
2628,22
2628,32
2628,38
2629,42
2631,47
2634,51
2634,60
2634,66
2635,70
2636,76
2638,81
2639,88
2640,93
2641,97
2643,102
2646,106
2650,110
2652,114
2653,118
2656,122
2656,129
2658,135
2660,139
2661,143
2664,147
2667,151
2671,155
2671,165
2671,173
2673,178
2673,187
2673,195
2674,200
2675,204
2677,209
2680,213
2682,219
2684,223
2685,227
2688,231
2691,235
2693,241
2695,245
2696,249
2699,253
2701,258
2705,262
2707,266
2708,270
2711,274
2713,279
2713,297
2713,307
2714,311
2714,320
2717,324
2717,333
2718,338
2719,342
2722,346
2722,355
2725,360
2725,371
2726,375
2728,380
2730,385
2730,399
2730,405
2731,409
2734,413
2736,418
2736,430
2736,436
2737,440
2740,444
2742,449
2746,453
2746,463
2746,473
2748,478
2751,482
2751,495
2751,501
2752,505
2754,510
2755,516
2757,522
2757,529
2757,534
2760,538
2762,543
2764,549
2764,558
2765,562
2768,566
2768,573
2771,578
2771,585
2772,589
2772,597
2775,601
2776,608
2776,618
2777,622
2779,627
2782,631
2784,637
2786,641
2787,645
2790,649
2790,656
2794,660
2794,668
2795,672
2797,677
2800,681
2800,690
2802,694
2803,698
2806,702
2808,707
2810,713
2812,717
2813,721
2815,726
2817,731
2819,737
2819,745
2820,749
2823,753
2825,758
2827,764
2827,770
2828,774
2830,779
2833,783
2837,787
2837,799
2838,803
2841,807
2844,811
2844,828
2846,832
2847,836
2850,840
2853,844
2853,854
2853,860
2854,864
2857,868
2859,873
2859,905
2859,911
2860,915
2860,922
2863,926
2864,933
2864,940
2864,945
2867,949
2869,954
2871,960
2871,969
2872,973
2875,977
2878,981
2878,994
2878,1000
2879,1004
2882,1008
2885,1012
2885,1022
2885,1028
2886,1032
2888,1037
2890,1042
2892,1048
2894,1052
2895,1056
2898,1060
2901,1064
2903,1070
2905,1074
2906,1078
2909,1082
2912,1086
2912,1094
2914,1098
2915,1102
2917,1107
2918,1113
2920,1119
2920,1126
2921,1130
2923,1135
2926,1139
2926,1148
2927,1153
2928,1157
2931,1161
2934,1165
2936,1171
2936,1183
2936,1193
2938,1198
2940,1203
2942,1209
2942,1217
2943,1221
2946,1225
2949,1229
2949,1245
2949,1253
2949,1259
2951,1264
2952,1270
2956,1274
2958,1278
2959,1282
2962,1286
2964,1291
2966,1297
2966,1303
2967,1307
2970,1311
2973,1315
2973,1323
2973,1329
2974,1333
2977,1337
2980,1341
2980,1351
2980,1357
2981,1361
2984,1365
2986,1370
2986,1382
2986,1388
2987,1392
2990,1396
2993,1400
2993,1413
2995,1417
2996,1421
2999,1425
3002,1429
3004,1435
3006,1439
3007,1443
3010,1447
3013,1451
3017,1455
3017,1476
3018,1480
3021,1484
3024,1488
3026,1494
3028,1498
3029,1502
3032,1506
3034,1511
3036,1517
3036,1523
3037,1527
3040,1531
3043,1535
3043,1545
3043,1551
3044,1555
3047,1559
3049,1564
3051,1570
3051,1579
3052,1583
3054,1588
3057,1592
3059,1598
3061,1602
3062,1606
3064,1611
3065,1617
3068,1622
3068,1631
3068,1638
3070,1643
3073,1647
3075,1653
3075,1659
3076,1663
3079,1667
3082,1671
3084,1677
3086,1681
3087,1685
3090,1689
3093,1693
3093,1703
3093,1709
3093,1715
3096,1719
3096,1727
3099,1732
3099,1740
3099,1746
3100,1752
3101,1758
3103,1764
3103,1770
3104,1774
3107,1778
3110,1782
3110,1793
3112,1797
3112,1805
3112,1812
3115,1816
3115,1826
3117,1830
3118,1834
3120,1839
3121,1845
3123,1851
3123,1859
3123,1865
3125,1870
3126,1876
3130,1880
3132,1884
3133,1888
3136,1892
3139,1896
3143,1900
3143,1910
3144,1914
3147,1918
3150,1922
3152,1928
3152,1940
3153,1944
3156,1948
3159,1952
3161,1958
3161,1964
3162,1968
3164,1973
3166,1978
3166,1986
3166,1992
3167,1996
3170,2000
3173,2004
3173,2015
3175,2019
3176,2023
3178,2028
3179,2034
3181,2040
3183,2044
3183,2053
3183,2061
3184,2067
3187,2072
3187,2079
3187,2084
3190,2088
3190,2095
3192,2101
3192,2109
3193,2113
3196,2117
3198,2122
3200,2128
3200,2134
3201,2138
3203,2143
3206,2147
3208,2153
3210,2157
3211,2161
3214,2165
3217,2169
3217,2189
3217,2197
3218,2201
3221,2205
3224,2209
3228,2213
3228,2223
3229,2227
3232,2231
3235,2235
3239,2239
3239,2249
3240,2253
3242,2258
3245,2262
3245,2271
3245,2277
3246,2281
3249,2285
3251,2290
3253,2296
3255,2300
3256,2304
3259,2308
3262,2312
3264,2318
3264,2324
3265,2328
3268,2332
3271,2336
3273,2342
3275,2346
3276,2350
3279,2354
3282,2358
3286,2362
3288,2366
3289,2370
3292,2374
3295,2378
3295,2442
3295,2465
3296,2469
3296,2476
3299,2480
3303,2484
3303,2496
3304,2500
3304,2511
3307,2515
3311,2519
3311,2529
3311,2537
3311,2544
3314,2548
3315,2555
3317,2559
3318,2563
3318,2572
3319,2578
3323,2582
3323,2591
3324,2595
3327,2599
3329,2604
3333,2608
3335,2612
3336,2616
3338,2621
3340,2626
3342,2632
3344,2636
3345,2640
3348,2644
3351,2648
3351,2666
3351,2672
3352,2676
3354,2681
3355,2687
3357,2693
3357,2701
3358,2705
3361,2709
3361,2716
3364,2721
3366,2725
3367,2729
3369,2734
3372,2738
3372,2747
3374,2751
3375,2755
3378,2759
3381,2763
3381,2778
3381,2788
3381,2794
3382,2800
3384,2805
3388,2809
3388,2819
3389,2823
3392,2827
3394,2832
3394,2846
3396,2850
3397,2854
3399,2859
3400,2865
3402,2871
3402,2877
3402,2884
3403,2890
3405,2895
3407,2901
3407,2910
3407,2917
3409,2922
3411,2927
3413,2933
3413,2939
3414,2943
3417,2947
3419,2952
3421,2958
3423,2962
3424,2966
3424,2979
3427,2983
3427,2997
3427,3007
3428,3011
3431,3015
3434,3019
3434,3039
3434,3045
3435,3049
3437,3054
3438,3060
3440,3066
3442,3070
3443,3074
3445,3079
3446,3085
3448,3091
3450,3095
3451,3099
3454,3103
3457,3107
3459,3113
3459,3123
3460,3127
3463,3131
3463,3138
3465,3144
3465,3150
3466,3154
3469,3158
3472,3162
3472,3172
3472,3178
3473,3182
3476,3186
3479,3190
3481,3196
3481,3209
3482,3213
3485,3217
3487,3222
3489,3228
3489,3236
3490,3240
3493,3244
3493,3251
3497,3255
3497,3265
3498,3269
3498,3278
3501,3282
3502,3289
3504,3293
3504,3300
3505,3306
3508,3310
3508,3318
3508,3326
3509,3330
3512,3334
3514,3339
3514,3348
3515,3353
3515,3358
3518,3362
3520,3367
3522,3373
3522,3382
3523,3386
3525,3391
3528,3395
3530,3401
3532,3405
3533,3409
3535,3414
3536,3420
3538,3426
3540,3430
3540,3438
3540,3445
3543,3449
3543,3462
3543,3469
3543,3474
3545,3479
3547,3484
3547,3492
3547,3498
3548,3502
3551,3506
3554,3510
3556,3516
3556,3529
3557,3533
3557,3541
3559,3546
3561,3552
3563,3556
3564,3560
3567,3564
3570,3568
3572,3574
3572,3586
3573,3590
3576,3594
3579,3598
3579,3608
3581,3612
3582,3616
3585,3620
3588,3624
3590,3630
3590,3638
3591,3642
3591,3650
3594,3654
3594,3663
3596,3667
3597,3671
3600,3675
3600,3682
3604,3686
3606,3690
3607,3694
3610,3698
3613,3702
3613,3710
3615,3714
3615,3720
3617,3725
3619,3730
3621,3736
3623,3740
3624,3744
3627,3748
3630,3752
3630,3762
3630,3768
3631,3772
3634,3776
3637,3780
3637,3790
3637,3796
3638,3800
3640,3805
3641,3811
3641,3819
3642,3824
3642,3829
3645,3833
3648,3837
3652,3841
3652,3853
3653,3857
3656,3861
3658,3866
3660,3872
3660,3878
3661,3882
3664,3886
3666,3891
3666,3905
3666,3911
3667,3915
3670,3919
3673,3923
3673,3940
3673,3946
3674,3950
3677,3954
3680,3958
3680,3966
3680,3972
3681,3976
3684,3980
3684,3987
3688,3991
3688,4001
3689,4005
3692,4009
3695,4013
3697,4019
3699,4023
3700,4027
3703,4031
3706,4035
3710,4039
3710,4049
3711,4053
3714,4057
3717,4061
3719,4067
3719,4073
3720,4077
3722,4082
3725,4086
3727,4092
3727,4102
3727,4108
3729,4113
3732,4117
3732,4125
3732,4138
3733,4142
3736,4146
3739,4150
3741,4156
3741,4176
3742,4180
3745,4184
3748,4188
3752,4192
3752,4204
3753,4208
3755,4213
3756,4219
3759,4224
3761,4228
3761,4237
3764,4241
3764,4252
3764,4262
3764,4273
3764,4278
3767,4282
3769,4287
3771,4293
3771,4304
3771,4312
3774,4316
3774,4326
3778,4330
3780,4334
3780,4345
3780,4355
3780,4362
3782,4368
3782,4374
3783,4378
3785,4383
3786,4389
3786,4399
3786,4405
3787,4409
3789,4414
3790,4420
3793,4425
3795,4429
3796,4433
3799,4437
3799,4444
3799,4463
3799,4469
3800,4473
3803,4477
3805,4482
3806,4489
3806,4500
3807,4504
